Name,Entry Link,Time(ms),Hours:Min:Sec
Tore Groneng,[https://gist.github.com/torgro/4b8aa80ad5b9b2da351b#file-get-chessscore-ps1],8525,00:00:08.7673.32
Ã˜vind Kallstad,(https://gist.github.com/gravejester/6c9a1bdd12ba413590c9),8778,00:00:08.7901.12
Boe Prox,[](https://gist.github.com/proxb/eba9b262e1dcb593ec94,28274),00:00:28.25447.28
Craig Duff,https://gist.github.com/duffwv/eaf16d733fdb00e4d6e8#file-beatinghadoop-ps1,39813,00:00:39.35832.08
Martin Pugh,https://gist.github.com/martin9700/4c5a7dc448ee2cee7b59#file-get-hadoopchallenge-ps1,47361,00:00:47.42624.81
/u/evetsleep /u/Vortex100 and kevin Marquette,https://gist.github.com/KevinMarquette/999e3eaeb75dd59a04d5,63418,00:01:03.57076.98
Irwin Strachan,https://gist.github.com/irwins/e5a579325e28d0070a7b#file-get-chessmatchesresults-ps1,74191,00:01:14.66771.66
Flynn Bundy,https://gist.github.com/bundyfx/1ef0455eb9bcbcc2d627,119774,00:01:59.107797.31
David Kuehn,https://gist.github.com/DavidKuehn/d922a23f81fada9b411b,283969,00:04:43.255573.49
/u/LogicalDiagram,https://gist.github.com/cdhunt/5c9a569aad952b1a4d96,325473,00:05:25.292925.87
Stephen Owen (me),https://gist.github.com/1RedOne/0d9e341c210dc01ae40c,2102400,00:35:02.1892160.23
Kevin Marquette,https://gist.github.com/KevinMarquette/f81b6f0a54c9df650c22,4703752,01:18:23.4233376.75
IISResetMe,https://gist.github.com/IISResetMe/1cb193f9473906d03277,,Configuration Issue on my test system
